concepticon	concepticon_ID	concepticon_proposed	NEL_concept	NEL_ID	lgc	lgcSD	inf	ranking_value	position_in_ranking	WOLD	ABVD	ASJP40	ASJP100	Holman ranking value	Holman	Rama & Borin score	Rama & Borin rank	Swadesh100	Swadesh200	IELex	Dyen 1975 P	Dyen 1975 rank	Pagel mean rate	Petroni & Serva	Peust ranking	Tadmor score	Tadmor rank	Tadmor representation score	WOLD borrowed score	WOLD age score	WOLD simplicity score	representation	Tadmor score (replica)
HOT	1286	HOT	heiß::A	502	0.303202715470053	0.104192312956272	11.6801728543797	0.895134841514918	309	15-85																			0.0858938547	0.8474860335	0.8491620112	47	0.6578391792
BELOW OR UNDER	1485	BELOW_OR_UNDER	unter::PRP	632	0.278463860063929	0.126319890897776	11.4607663210369	0.895459158046156	310	12-07	176																		0.0344086022	0.7883870968	0.8064516129	48	0.6139191926
HUNGER	1864	HUNGER	Hunger::N	50	0.40982138023893	0.123293572953424	12.6444390282474	0.8956046606097	311																								
		LAIR	Bau::N	131	0.245048496680594	0.124804385186217	11.163649811742	0.895821334161667	312																								
ROAD	667	ROAD	Straße::N	404	0.238012894075371	0.113303516200858	11.1100200676661	0.896790402098779	313	10-71	6							67	120	125	23	33	4.86		10				0.3116591928	0.8748878924	0.9417040359	50	0.567113982
BACK	1291	BACK	Rücken::N	20	0.279988954588039	0.113816371324272	11.4914899408202	0.897158934952782	314	4-19	13								6	6	3.01	151	4.29		11	0.736	46	1	0.081920904	0.8570621469	0.9237288136	48	0.7268367939
		SLEEVE	Ärmel::N	374	0.37955487165874	0.105710009890513	12.3918483355536	0.897585449062497	315																								
SWEEP	230	SWEEP_(SOMETHING)	kehren::V	973	0.320097980857869	0.104613286812301	11.8672071146131	0.898632528689226	316	9-37																			0.1325301205	0.8228915663	0.8734939759	44	0.6235293912
END (OF TIME)	743	END_(OF_TIME)	Schluss::N	448	0.314731503823214	0.124171075896791	11.8255176389612	0.899293410455223	317	14-26																			0.1319345661	0.8369369369	0.7380275012	47	0.5361888067
BLOW (OF WIND)	175	BLOW_(OF_WIND)	wehen::V	690	0.292139882836666	0.114847401830117	11.6256816179743	0.899642267244434	318	10-38	137								17	16	4.91	109	4.31			0.706	79	0.976	0.0377906977	0.8139534884	0.8779069767	46	0.6875711415
NINE	1483	NINE	neun::NUM	661	0.496944111173215	0.077614787930166	13.47610902198	0.900361202142106	319	13-09	205														6				0.2897727273	0.8613636364	0.9659090909	44	0.5909083572
BREAST	1402	BREAST	Busen::N	23	0.286625433964274	0.114168905521282	11.5881519562027	0.90085230505242	320	4-41	18	9	51	30.7	16	166.545	5	11		18					11	0.783	12	1	0.0533175355	0.8909952607	0.9668246446	47	0.8155065222
THICK	1244	THICK	dick[Gegenstand]::A	488	0.33899140941317	0.116060173830146	12.0661186703707	0.901519598565216	321	12-63	157								164	170	4.19	126	5.41			0.712	76	1	0.0495049505	0.8633663366	0.9059405941	52	0.7434378885
EIGHT	1705	EIGHT	acht::NUM	660	0.432989914044439	0.092251164224244	12.9175201960155	0.90206109696155	322	13-08	204														5				0.2558139535	0.8488372093	0.9534883721	43	0.6023117461
FLEE	956	FLEE	fliehen::V	798	0.398994910840016	0.107151109004772	12.6151341084078	0.902417991084768	323	10-51																			0.125	0.8205128205	0.8322649573	48	0.5975235591
		FLAVOR	Geruch::N	53	0.177303278020431	0.117726612937455	10.619911167316	0.902418166513208	324																								
THIN (OF SHAPE OF OBJECT)	2249	THIN (OF SHAPE OF OBJECT)	dünn::A	489	0.417336265415275	0.110917095250729	12.7873007418385	0.903127435310105	325	12-65	156								165	171	20.6	37	2.99	0.16156	11				0.1263157895	0.8873684211	0.8973684211	53	0.6957115906
PLAY	1413	PLAY	spielen::V	921	0.345879186581386	0.119958551646074	12.1463443076629	0.903343162843042	326	16-26									112	117	0.72	196	3.18						0.0426829268	0.8268292683	0.8536585366	42	0.6757029788
FIR	1915	FIR	Tanne::N	121	0.360372088074107	0.109241555647488	12.2776375451066	0.903428875243964	327	8-65																			0.3157894737	0.9383458647	0.954887218	19	0.6130625337
STING	571	STING	stechen::V	936	0.34131666689841	0.119231515377865	12.1109987376508	0.903914873556512	328																								
		WISH_(SOMEONE_SOMETHING)	wünschen::V	902	0.37195841353078	0.108334539414693	12.390702361184	0.904307663940697	329																								
		MUSH	Brei::N	352	0.298760744052986	0.118337293360461	11.7382859003209	0.904943920384399	330																								
CLAW	72	PAW	Kralle::N	127	0.296936377286667	0.12300964764336	11.7269903291161	0.90545629335361	331	4-345															5				0.1164556962	0.8293670886	0.9164556962	46	0.6715627575
HARE	1190	HARE	Hase::N	145	0.416154119702853	0.123369701401283	12.8004486030811	0.90550615257554	332	3-863																			0.1416666667	0.8033333333	0.8458333333	39	0.5832255787
PASS	1951	PASS	vergehen::V	709	0.316684904840096	0.132138280541451	11.9093290812061	0.905916493764522	333	10-99906																							
BODY	1480	BODY	Körper::N	39	0.264572764636423	0.114956094556093	11.4408934468236	0.905973856509581	334	4-11																			0.1878354204	0.8483005367	0.9355992844	51	0.6445901544
PINE	1740	PINE	Kiefer[Baum]::N	119	0.397000729046075	0.106613948150959	12.634978880471	0.906197231905635	335	8-64																			0.4147465438	0.8036866359	0.8801843318	31	0.414003838
NAVEL	1838	NAVEL	Nabel::N	22	0.415111775920883	0.109423636843503	12.802243604399	0.906623762111102	336	4-43										209					8	0.741	42	1	0.1224489796	0.9228571429	0.9816326531	42	0.7949793538
FUR	580	FUR	Fell::N	124	0.234315221893276	0.095899482187351	11.1771802089648	0.906834321192531	337	6-28																			0.2932193036	0.8613317043	0.9022602321	40	0.5492713271
DRAG	2030	DRAG	schleppen::V	874	0.392062073529007	0.096958031886301	12.5972221909778	0.906866352921671	338																								
STRONG	785	STRONG	stark::A	538	0.428748954125813	0.103740494208097	12.9316183925904	0.907287780545805	339	4-81																			0.2752293578	0.8203669725	0.8678899083	52	0.5160281569
LINE	1048	LINE	Linie::N	261	0.319450151507115	0.092143618342941	11.9490443967235	0.907399303315944	340	12-84																			0.4712643678	0.8593869732	0.9885057471	48	0.4491656581
LISTEN	1608	LISTEN	zuhören::V	804	0.488658430453973	0.087748424468221	13.4771676813388	0.907924180725303	341	15-42																			0.0333509794	0.8581259926	0.7824245633	42	0.6490263786
		POLE	Stange::N	303	0.290077762762246	0.108788570610148	11.6940187008944	0.908331883603423	342																								
CHILD (YOUNG HUMAN)	1304	CHILD_(YOUNG_HUMAN)	Kind::N	195	0.340529214126557	0.106413987341408	12.1514727606953	0.908670983355633	343	2-27	56								21	21	4.83	112	6.31		11	0.73	51	0.976	0.1546997389	0.8485639687	0.8929503916	51	0.6405055868
LOOK FOR	1468	LOOK_FOR	suchen::V	785	0.317478829924924	0.12133065571151	11.956977913319	0.909966844399465	344	11-31																			0.0836614173	0.8523622047	0.8838582677	46	0.6903395988
GAME	2467	GAME	Spiel::N	248	0.336332755696509	0.133377289761109	12.1281467712306	0.9101151969962	345																								
TEACH	709	TEACH	lehren::V	910	0.400678416219485	0.119229380399539	12.7138008872395	0.910769514126414	346	17-25																			0.1025145068	0.8442940039	0.7669245648	51	0.5811306625
RED	156	RED	rot::A	526	0.411285295597237	0.098860505678157	12.8108563337237	0.910928867334855	347	15-66	149		87	20.2	65	490.751	85	66	116	121	4.88	110	2.26	0.17815	8	0.721	64	1	0.0735294118	0.8482352941	0.9	43	0.7072785467
OTHER	197	OTHER	anderer::A	578	0.250975056631123	0.116238848799295	11.3689728074772	0.911019729779705	348	24-11	190								110	115	3.26	144	2.66		7				0.0864197531	0.8049382716	0.9012345679	44	0.6627460057
		BE_AFRAID	sich fürchten::V	796	0.458053359785377	0.077695840668758	13.2346627121496	0.911218247408119	349																								
YOUNG	1207	YOUNG	jung::A	567	0.38645168151236	0.105470732876601	12.6029166983739	0.912485156476271	350	14-14																			0.1627906977	0.8313953488	0.871124031	51	0.6063475543
LEARN	504	LEARN	lernen::V	999	0.415591878129275	0.106045564325918	12.8693359520731	0.912900904890963	351	17-24																			0.2596371882	0.8201814059	0.8458049887	50	0.5135996957
SHOVEL	1901	SHOVEL	Schaufel::N	325	0.386133605017252	0.09168009530262	12.6127160127716	0.913751356761628	352	8-24																			0.6107594937	0.746835443	0.9683544304	45	0.281499283
ASK (REQUEST)	1828	ASK_(REQUEST)	bitten::V	986	0.299415835822447	0.135698432254121	11.8385779690127	0.914383544661066	353	18-35																			0.0913043478	0.8447826087	0.8826086957	46	0.6775348155
		STRAP	Riemen::N	384	0.305708732750045	0.114606378010056	11.9009392863222	0.914956069157181	354																								
CHARCOAL	1188	CHARCOAL	Kohle::N	188	0.406300680112353	0.106579862859021	12.8088631701667	0.915215704915549	355	1-89																			0.2588235294	0.8788235294	0.8794117647	46	0.5728165683
TEA	1373	TEA	Tee::N	362	0.063405738923513	0.104420014808304	9.7266632322	0.915601158188838	356	23-9																			0.8253012048	0.8108433735	0.9578313253	42	0.135680026
RIGHT	1019	RIGHT	rechter::A	577	0.412305516491493	0.101474901286729	12.8711145447551	0.916036489633164	357	12-41	3								118	122	14.37	50	2.61	0.1689	7				0.0362903226	0.8423387097	0.872983871	43	0.7086620874
RAISE	1317	RAISE	heben::V	846	0.339119006711142	0.122074186646062	12.2163751114038	0.916430405100356	358																								
CROSS	1367	CROSS	Kreuz::N	260	0.35998274152313	0.07522676359569	12.409689731419	0.916984505771087	359	12-77																			0.5	0.78	0.86875	40	0.3388125
COUGH	879	COUGH	husten::V	748	0.518150585488594	0.089183942187421	13.8404773030714	0.917712203367408	360	4-53																			0.0555555556	0.8395061728	0.8518518519	41	0.675405172
CAT	1208	CAT	Katze::N	140	0.244199497323013	0.078462647602258	11.3769462096602	0.917915073375306	361	3-62																			0.3441860465	0.8027906977	0.9441860465	55	0.4970963362
BLIND	1653	BLIND	blind::A	535	0.435306760085697	0.109398802673185	13.101334465924	0.918357362515269	362	4-97																			0.1098901099	0.8340659341	0.8571428571	46	0.6363517174
EDGE	863	EDGE	Kante::N	273	0.274795521743568	0.124456973371008	11.6594274705464	0.918626777485428	363	12-353																			0.1285140562	0.8843373494	0.9638554217	53	0.7428313923
MAN	1554	MAN	Mann::N	193	0.300081602270415	0.103697601888551	11.8984501441281	0.919771572369441	364	2-21	54		17	16.7	80	380.891	62	51	94	98	10.57	68	3.38	0.17801	10				0.096287703	0.8863109049	0.8805104408	52	0.7052625039
		STICK_(SOMETHING)	stecken::V	858	0.338260975424174	0.125085409177444	12.246993908522	0.920264512970446	365																								
		LOSE_(SOMETHING)	verlieren::V	832	0.330779406503765	0.120510656384676	12.1849423436784	0.920792768514451	366																								
SHARPEN (SOMETHING)	251	SHARPEN (SOMETHING)	schleifen::V	865	0.377626006003538	0.104028310448882	12.6167108867769	0.921807683274508	367																								
STEAL	713	STEAL	stehlen::V	938	0.38329946305667	0.14341277627809	12.6770449339387	0.922734976642871	368	21-51	73																		0.1306376361	0.8483670295	0.8646967341	56	0.6377470166
		COVER_(A_CHILD)	zudecken::V	906	0.358423105521669	0.113519704256018	12.4571824055992	0.923137445590413	369																								
KETTLE	854	KETTLE	Kessel::N	346	0.40884914110695	0.083191760231343	12.9139300389128	0.923428776895027	370	5-27																			0.6780383795	0.8439232409	0.9232409382	43	0.2508546209
LEAVE	1752	LEAVE	weggehen::V	774	0.363694242086186	0.10858795712922	12.5106828298951	0.923743465111944	371	10-49																			0.1358802678	0.8196140213	0.7991335171	54	0.565982037
DWELL (LIVE. RESIDE)	363	DWELL_(LIVE,_RESIDE)	wohnen::V	945	0.297719754105027	0.111019295438687	11.9179426190892	0.923846483214392	372	7-11																			0.1469849246	0.8927135678	0.8605527638	47	0.6553093216
KNOT	760	KNOT	Knoten::N	369	0.362181706717821	0.110540483259439	12.499320151194	0.923968479073357	373	9-192																			0.1055555556	0.7933333333	0.9277777778	47	0.6583442387
BEAT	1665	BEAT	schlagen::V	934	0.276436817168413	0.104695321607759	11.733565000034	0.924563364551829	374																								
		HEAR_(INFORMATION)	vernehmen::V	810	0.330075440878577	0.112156799040972	12.2169612606634	0.924628229275619	375																								
PRESS	1913	PRESS	drücken::V	850	0.400041161736442	0.113685724751587	12.8513949383472	0.925102448271922	376	9-342																			0.200203252	0.8239837398	0.8617886179	47	0.5679355174
SOUR	1906	SOUR	sauer::A	521	0.45186544334504	0.100019456688911	13.3185674051917	0.92517784150863	377	15-38																			0.0631868132	0.8131868132	0.8873626374	49	0.6759965219
SHOW	1039	SHOW	zeigen::V	908	0.411692214141387	0.109596404318173	12.958255780095	0.925302585282247	378	15-55																			0.0612244898	0.807606679	0.7244897959	49	0.5492801778
LIE DOWN		LIE_(REST)	liegen::V	679	0.388157794083925	0.122277250920456	12.7498535354147	0.925643338865933	379	12-14	49		67	11.2	99	619.404	98	47	89	93	2.6	162	3.56	0.16763	9				0.01875	0.8553571429	0.8392857143	51	0.7044286113
LIP	478	LIP	Lippe::N	7	0.30572274194026	0.126289936595548	12.0081692888211	0.925666461135876	380	4-25																			0.0821052632	0.8648421053	0.8578947368	43	0.6810260248
BEND	2004	BEND	beugen::V	841	0.38778269600595	0.109294686234772	12.7489135964591	0.92588693324055	381	9-14																			0.125	0.7990384615	0.8461538462	60	0.591595784
BELT	772	BELT	Gürtel::N	376	0.319098844156174	0.111747909087935	12.134499081632	0.92626094842264	382	6-57																			0.298013245	0.8162251656	0.8509933775	52	0.4876015517
		STOP_(OF_ACTIVITY)	aufhören::V	817	0.328597890616974	0.118410255429475	12.2205841741706	0.926320315861782	383																								
OLD (AGED)	2112	OLD_(AGED)	alt[Lebewesen]::A	566	0.318732798383281	0.118195894955858	12.1327623834031	0.92641671979536	384																								
TAIL	1220	TAIL	Schwanz::N	128	0.252800954680091	0.112961173232915	11.5415268886118	0.926631829649094	385	4-18	105		35	14.9	86	358.716	57	84	160	166	10.52	69	4.16		10	0.699	84	1	0.1170212766	0.8712765957	0.9734042553	48	0.7488580926
FRY	991	FRY	braten::V	963	0.298604493755171	0.106262217315609	11.9601329587858	0.927269251498928	386	5-23																			0.2791970803	0.8603406326	0.9416058394	77	0.5839237164
BURN (SOMETHING)	141	BURN_(SOMETHING)	verbrennen::V	897	0.337639030119642	0.10490018226791	12.3149094657064	0.927615819462957	387	1-851															11				0.0997854077	0.8858369099	0.7768240343	47	0.6194731313
CHOOSE	1750	CHOOSE	wählen::V	888	0.342667918985034	0.100130606638516	12.3604066666224	0.92763953957571	388	16-622	85																		0.1433691756	0.8344086022	0.8387096774	44	0.5994930112
FOX	1312	FOX	Fuchs::N	144	0.426856231248537	0.094640986156711	13.1287364129434	0.928703033170653	389	3-74																			0.1736111111	0.8361111111	0.9444444444	37	0.6525666581
SPADE	1176	SPADE	Spaten::N	324	0.321069180170419	0.102486106557379	12.1857808990321	0.929615827749836	390	8-23																			0.4986263736	0.7967032967	0.9299450549	38	0.371462852
SKIN (OF FRUIT)	2373	SKIN_(OF_FRUIT)	Schale::N	178	0.312089411634035	0.134416360683964	12.1066207286642	0.929781602395785	391	5-461X																							
		SWAN	Schwan::N	159	0.437969765653419	0.112050199788935	13.2398226559748	0.929809476509399	392																								
HOOK	1071	HOOK	Haken::N	331	0.329854576294742	0.092653156376569	12.2670232184075	0.929833203175484	393	12-75																			0.2198275862	0.8090517241	0.8900862069	46	0.5618222683
		CHILL	Kälte::N	80	0.293621970611153	0.114023904990217	11.9425711442879	0.929997340878752	394																								
HOW	1239	HOW	wie::FADV	650	0.267429224947312	0.10441128981779	11.7086624338959	0.930179940937006	395	17-61	194								75	79	0.89	195	0.41						0.0204280156	0.8038910506	0.8122568093	47	0.6396271806
SHOUT	715	SHOUT	schreien::V	730	0.396810740155999	0.089550400309173	12.877058601764	0.930576194035998	396	18-13																			0.1046511628	0.7899224806	0.8730620155	52	0.6174785012
		MEADOW	Wiese::N	92	0.395362307120531	0.08919210047064	12.8644755873168	0.930621482323203	397																								
YELLOW	1424	YELLOW	gelb::A	527	0.429607540263008	0.086017904675902	13.1746783029752	0.930821044060814	398	15-69	150		89	22.5	51	496.966	87	100	200	205	3.97	129	2.12	0.16487	10				0.1540697674	0.8534883721	0.8779069767	45	0.6338414778
SOUP	1547	SOUP	Suppe::N	359	0.269327306707583	0.09162321260156	11.7322471359047	0.930830137553647	399	5-64																			0.5308098592	0.8341549296	0.9771126761	49	0.3824196906
GREEN	1425	GREEN	grün::A	529	0.52994179290359	0.076408266177817	14.0822323106173	0.931275617448501	400	15-68	151		88	21.1	58	522.136	90	35	63	66	3.01	152	2.46	0.17269	8				0.1676829268	0.7792682927	0.8282520325	48	0.5372028641
WET	1726	WET	nass::A	508	0.344842258117327	0.121707091836884	12.4189402823293	0.931535995927337	401	15-83	141								183	189	9.6	75	4.45		11				0.0975	0.855	0.875	52	0.6751828125
SHORT	1645	SHORT	kurz::A	484	0.393952546060674	0.107819436826519	12.8655066797687	0.931993376522263	402	12-59	154								134	140	2.04	174	3.39	0.21676	8				0.0989583333	0.7510416667	0.8506944444	52	0.5756818041
FAULT	134	FAULT	Schuld::N	446	0.342564330593061	0.117384007291645	12.4168626446692	0.933378366933168	403	16-76																			0.4233983287	0.7877437326	0.8885793872	45	0.4036055112
BLUE	837	BLUE	blau::A	528	0.390148515892068	0.115102995424398	12.8474150018496	0.933607835882097	404	15-67																			0.2398897059	0.8136029412	0.8759191176	50	0.5416928826
LOVE	923	LOVE	lieben::V	789	0.418546003693214	0.08826989054291	13.109639700065	0.934272566682607	405	16-27																			0.1532416503	0.8373280943	0.8408644401	49	0.596185127
ISLAND	622	ISLAND	Insel::N	108	0.318577461172328	0.095276769009827	12.2117315352741	0.934453438472319	406	1-25																			0.3879781421	0.849726776	0.8961748634	47	0.4660569566
		SWARM	Schwarm::N	149	0.254483962184918	0.121709111990724	11.6378533536027	0.934749769393844	407																								
MONEY	1350	MONEY	Geld::N	422	0.308322627648114	0.089454257620189	12.122892254395	0.934798860556193	408	11-43																			0.5375	0.8657142857	0.9705357143	53	0.3885955676
SHINE	708	SHINE	scheinen[Sonne]::V	688	0.404058034009035	0.105712049130324	12.9885271546752	0.93520048485939	409	15-56																			0.1018211921	0.8082781457	0.7715231788	55	0.5601090868
PICK UP	371	PICK_UP	aufheben::V	830	0.378597961360576	0.099266897523779	12.7748536251939	0.936747197294875	410	12-212																			0.0995934959	0.823102981	0.8031842818	48	0.5952617802
FRESH	243	FRESH	frisch::A	506	0.359126295481405	0.113312425220581	12.6001463235085	0.936800966417583	411																								
		TWIG	Zweig::N	116	0.227455072715798	0.116849398052997	11.4155316067798	0.936843595233765	412																								
HEEL	980	HEEL	Ferse::N	35	0.362457985686956	0.099968868414286	12.6320546217221	0.936993275053951	413	4-372																			0.0569105691	0.7808943089	0.8109756098	44	0.5972455581
DUST	2	DUST	Staub::N	67	0.272872393899848	0.121467501343717	11.8264773439974	0.93706257988988	414	1-213	11								35	35	6.44	96	3.63						0.2337662338	0.8944805195	0.9318181818	55	0.6386506425
		HEAP	Haufen::N	285	0.249054132489385	0.116355088037732	11.6139462553581	0.93724590629536	415																								
		CONCEAL	verbergen::V	941	0.366618229930901	0.110332338180252	12.6743314949162	0.937476742553804	416																								
LID (COVER. CAP)	2319	LID_(COVER,_CAP)	Deckel::N	341	0.358877973913513	0.092194013572583	12.6075950503048	0.937769328508318	417																								
WOMAN	962	WOMAN	Frau::N	194	0.266614939764035	0.090824270686826	11.7884851604062	0.938895070252993	418	2-22	55		16	17.9	75	418.379	75	99	195	201	13.83	54	2.75	0.16656	11				0.1574988246	0.8236953456	0.8906911142	53	0.6181078327
WARM	1232	WARM	warm::A	503	0.301845094709671	0.133937052824193	12.1058794113294	0.938927355894237	419	15-851	138		93	11.6	98	400.909	69	93	179	185	3.73	135	2.35	0.17283	11				0.0901287554	0.8300429185	0.8712446352	43	0.657991988
		SPACE_(FREE)	Platz::N	266	0.251282911640297	0.119171483894905	11.6600023846857	0.939845617992304	420																								
FOG	249	FOG	Nebel::N	74	0.333309400828058	0.094919512168796	12.4260424737372	0.942625786628467	421	1-74	132								56	57	8.21	80	4.97						0.140625	0.8555147059	0.90625	48	0.666282205
		THEN	dann::ADV	594	0.278867743257445	0.101137678768931	11.9387975131807	0.942898782386374	422																								
HIDE (CONCEAL)	602	HIDE_(CONCEAL)	verstecken::V	880	0.333369910613504	0.112170851328445	12.4297866123921	0.942945741687059	423	12-27	171									221						0.718	67	1	0.0717131474	0.8729083665	0.9133466135	45	0.74009331
RIPEN	179	RIPEN	reifen::V	959	0.302504063959672	0.119413607411853	12.1529986712145	0.943046209557748	424																								
TWENTY	1710	TWENTY	zwanzig::NUM	665	0.402341983239537	0.1114929831791	13.0521773566895	0.943109950753368	425	13-104	207																		0.2256097561	0.8219512195	0.756097561	41	0.4812644187
HUSBAND	1200	HUSBAND	Ehemann::N	210	0.293434429708287	0.095507573397391	12.0748286831836	0.943391881580901	426	2-31	57								77	81	3.75	134	4.74	0.16853					0.1998454803	0.8766932784	0.8990471285	57	0.6306726503
		STAFF	Stab::N	305	0.277208932473959	0.122561260130435	11.9401165096161	0.944523611735047	427																								
WEIGHT	2466	WEIGHT	Gewicht::N	283	0.33785181726231	0.105155267307971	12.4879153682298	0.944724901286896	428																								
		MATTER_(AFFAIR)	Angelegenheit::N	253	0.292105627564497	0.118949785716932	12.0793096699787	0.945035902189826	429																								
PATH	2252	PATH	Pfad::N	402	0.380478186592848	0.109093567043522	12.8757444236463	0.945144074431065	430	10-72	6	27	85	30.2	18	281.417	33				26.7	28							0.2074688797	0.8630705394	0.9211618257	50	0.6300841413
		STILL	noch::ADV	625	0.25773378533212	0.109081444748725	11.7735050412898	0.945390097330068	431																								
EVENING	1629	EVENING	Abend::N	453	0.43725154932046	0.106325982281775	13.3903071349983	0.945504319111419	432	14-46																			0.1279761905	0.8333333333	0.8779761905	45	0.6380134519
HANG UP	357	HANG_UP	aufhängen::V	828	0.373302720069763	0.11792100773816	12.8236742217325	0.946394974110467	433	9-341																			0.1078595318	0.8170568562	0.864548495	51	0.6301948903
		ARISE_(FROM_SLEEP)	aufstehen::V	743	0.323636371433311	0.12987318183268	12.3825064351612	0.946977909226141	434																								
SHOULDER	1482	SHOULDER	Schulter::N	25	0.303570891854139	0.113756429701584	12.2039485431344	0.947181051644712	435	4-3	19																		0.1338582677	0.8724409449	0.9429133858	43	0.7125195825
STEP (VERB)	2065	STEP_(VERB)	schreiten::V	758	0.426336153869072	0.101634832651904	13.3101452706871	0.947311988586544	436																								
		SIN	Sünde::N	415	0.343448493325024	0.130377759627441	12.5690963798739	0.947805993994869	437																								
BUILD	1840	BUILD	bauen::V	836	0.289711259386565	0.086583728922812	12.1006982758181	0.949329694133902	438	9-44																			0.1989211059	0.8420431558	0.8128792987	59	0.5483220408
THROAT	1346	THROAT	Kehle::N	16	0.313848936781513	0.096876184291901	12.3232528758811	0.949861244484753	439	4-29																			0.1296992481	0.8537593985	0.9323308271	50	0.6927473937
NOW	1376	NOW	jetzt::ADV	590	0.190228271497617	0.099829563023084	11.2122866499623	0.950023220648376	440	14-18																			0.1031598513	0.831598513	0.874535316	49	0.6522380009
CEASE	1928	CEASE	enden::V	684	0.375120637667267	0.097927890073945	12.8826322597023	0.950654652069692	441	14-28																			0.1419491525	0.8233757062	0.7846045198	53	0.5543216986
CROW	913	CROW	Krähe::N	157	0.352020833823537	0.106142221913425	12.6773160623645	0.950912855795271	442	3-593																			0.141025641	0.8333333333	0.9615384615	39	0.6882807364
BAD	1292	BAD	schlecht::A	559	0.278678956658948	0.09638614173697	12.0196542524854	0.951154364255486	443	16-72	165								7	7	5.64	103	6.87		12				0.0874558304	0.8042402827	0.8639575972	55	0.6340626111
		REASON	Grund::N	223	0.296877893577896	0.115372704873014	12.19461110715	0.952271006494893	444																								
PICK	2148	PICK	pflücken::V	948	0.22084383836127	0.147590292837412	11.5129334731148	0.952533892786336	445	8-99961																							
		SPREAD_(SOMETHING)	streichen::V	864	0.334304368221486	0.114161797117498	12.5371302531723	0.952839093917889	446																								
BRIGHT	679	BRIGHT	hell::A	522	0.366958765839675	0.108548696200476	12.8381262587078	0.953549736615074	447	15-57																			0.0474433316	0.8123352662	0.8220875066	43	0.6361275103
ENTER	749	ENTER	eintreten::V	778	0.331374906809354	0.120219732925707	12.5206700552277	0.953829589394354	448	10-57																			0.075	0.8346153846	0.7923076923	45	0.6116767751
HEAVY	1210	HEAVY	schwer::A	500	0.355609744012213	0.122357584528581	12.7401618247966	0.953967412868663	449	15-81	142								71	74	13.82	55	2.89		8	0.716	71	1	0.0894039735	0.8834437086	0.9006622517	43	0.7245470528
SPOON	1378	SPOON	Löffel::N	327	0.345059211366436	0.097460873288966	12.6566204952089	0.9551087592911	450	5-37																			0.400990099	0.8188118812	0.9108910891	52	0.4467706039
CHOP	155	CHOP	hacken::V	957	0.308057379429315	0.110390865248954	12.3268953879869	0.955437897312304	451	9-222																			0.0501485884	0.8173105498	0.8764858841	53	0.6804366589
LETTER	1612	LETTER	Brief::N	407	0.386349835465669	0.108224033810084	13.0322879519508	0.95551394327598	452	23-42																			0.5805926408	0.792184956	0.911103875	45	0.3027126228
BOOK	963	BOOK	Buch::N	408	0.402015552826937	0.091040587767389	13.1885552096836	0.957041523424118	453	18-61																			0.6217968509	0.8574251312	0.9827107132	44	0.3186742995
		OPEN_(OF_DOOR)	offen::A	512	0.455323685956538	0.085067874271177	13.6784686592931	0.958055548568426	454																								
FOREHEAD	123	FOREHEAD	Stirn::N	10	0.241617465626852	0.135166442257429	11.7552425471876	0.958068535654594	455	4-205																			0.0657370518	0.8362549801	0.8685258964	44	0.6785636869
SHARP	1396	SHARP	scharf::A	498	0.321042911935775	0.100602722501804	12.4724763198825	0.958309011246056	456	15-78	81								133	139	9.01	77	3.76	0.1611					0.099609375	0.815234375	0.84375	48	0.6193372965
BEND (SOMETHING)	2224	BEND_(SOMETHING)	biegen::V	842	0.321382693936875	0.100075584574147	12.479585672231	0.958714142679913	457																								
COMB	1475	COMB	Kamm::N	382	0.312002775629299	0.117187456271435	12.4031589827349	0.959513400207121	458	6-91																			0.1666666667	0.8268817204	0.8333333333	50	0.574223417
GRAVE	1773	GRAVE	Grab::N	413	0.289827616181987	0.121642438068422	12.2036702740924	0.959522172845449	459	4-79																			0.3010204082	0.8244897959	0.887755102	49	0.5116146334
		FLOW_(OF_RIVER)	strömen::V	691	0.282934142574713	0.124655199988916	12.1540086907602	0.960760140758775	460																								
EVIL	45	EVIL	böse::A	543	0.253443864844093	0.108241638790115	11.8894443379328	0.9608449554336	461																								
GUEST	1782	GUEST	Gast::N	246	0.430848797440269	0.095194442751175	13.4861713427177	0.960853216575532	462	19-56																			0.2626728111	0.864516129	0.8755760369	40	0.5581195252
CALL BY NAME	180	CALL_BY_NAME	nennen::V	989	0.396498538476788	0.106560474166261	13.180365553712	0.961187870742091	463	18-42																			0.0801526718	0.7961832061	0.6937022901	50	0.5080446616
PEOPLE	789	PEOPLE	Volk::N	244	0.33328980276729	0.123406808399011	12.6127730364984	0.96131648115928	464	19-21																			0.3784860558	0.8207171315	0.8207171315	46	0.4186372556
FEEL (TACTUALLY)	2559	FEEL_(TACTUALLY)	fühlen::V	807	0.376269691126618	0.096348998506196	13.0084855215919	0.962205830145231	465																								
SPRINGTIME	1537	SPRINGTIME	Frühling::N	458	0.352822698391884	0.121415709068207	12.8004923414584	0.962508805593144	466	14-75																			0.1604477612	0.8059701493	0.7686567164	37	0.520114675
		CHIME	läuten::V	720	0.412359328131705	0.107337652571396	13.3393281219382	0.962809416875288	467																								
SNAKE	730	SNAKE	Schlange[Tier]::N	163	0.323655337495098	0.110662898484591	12.5412348598078	0.962833682235188	468	3-85	106								144	150	4.56	115	3.11	0.19485	9				0.1542288557	0.8507462687	0.9502487562	51	0.6837388021
